item	voicing	template	alt1	alt2	alt1voicing	alt2voicing
pintu	TT	CVNCV	pindu	bintu	TD	DT
pistu	TT	CVNCV	pizdu	bistu	TD	DT
pitu	TT	CVCV	pidu	bitu	TD	DT
punta	TT	CVNCV	punda	bunta	TD	DT
punti	TT	CVNCV	pundi	bunti	TD	DT
pusta	TT	CVNCV	puzda	busta	TD	DT
pusti	TT	CVNCV	puzdi	busti	TD	DT
puta	TT	CVCV	puda	buta	TD	DT
puti	TT	CVCV	pudi	buti	TD	DT
taki	TT	CVCV	tagi	daki	TD	DT
taku	TT	CVCV	tagu	daku	TD	DT
tanki	TT	CVNCV	tangi	danki	TD	DT
tanku	TT	CVNCV	tangu	danku	TD	DT
taski	TT	CVNCV	tazgi	daski	TD	DT
tasku	TT	CVNCV	tazgu	dasku	TD	DT
tiku	TT	CVCV	tigu	diku	TD	DT
tinku	TT	CVNCV	tingu	dinku	TD	DT
tisku	TT	CVNCV	tizgu	disku	TD	DT
tuka	TT	CVCV	tuga	duka	TD	DT
tuki	TT	CVCV	tugi	duki	TD	DT
tunka	TT	CVNCV	tunga	dunka	TD	DT
tunki	TT	CVNCV	tungi	dunki	TD	DT
tuska	TT	CVNCV	tuzga	duska	TD	DT
tuski	TT	CVNCV	tuzgi	duski	TD	DT
tampi	TT	CVNCV	tambi	dampi	TD	DT
tampu	TT	CVNCV	tambu	dampu	TD	DT
tapi	TT	CVCV	tabi	dapi	TD	DT
tapu	TT	CVCV	tabu	dapu	TD	DT
taspi	TT	CVNCV	tazbi	daspi	TD	DT
taspu	TT	CVNCV	tazbu	daspu	TD	DT
timpu	TT	CVNCV	timbu	dimpu	TD	DT
tipu	TT	CVCV	tibu	dipu	TD	DT
tispu	TT	CVNCV	tizbu	dispu	TD	DT
tumpa	TT	CVNCV	tumba	dumpa	TD	DT
tumpi	TT	CVNCV	tumbi	dumpi	TD	DT
tupa	TT	CVCV	tuba	dupa	TD	DT
tupi	TT	CVCV	tubi	dupi	TD	DT
tuspa	TT	CVNCV	tuzba	duspa	TD	DT
tuspi	TT	CVNCV	tuzbi	duspi	TD	DT
